NAME,PROV,ARA,RHA,GAL,GLU,XYL,MAN,INS_LIG,SOL_LIG,TOT_LIG,HOLO,A_CELL,HEMICELL,FIB_LNGTH,MFA ,MFA_YR1,DENS,CRYST,S2G,PHB
ELAD-25-5 ,ELAD,0.555766782,0.546669292,0.523435184,46.16205006,18.70533159,2.957630851,18.31228473,2.412587413,20.72487214,67.22859069,39.85201301,27.37657768,,,,,,71.98,0.500099182
FNYI-28-1 ,FNYI,0.553376498,0.654263572,0.609893025,49.69321151,17.41268967,2.774937433,15.99241466,2.292466383,18.28488105,69.76744186,41.1038752,28.66356666,1.04,16.77,23,367.79,48.08,71.59,0.929036866
FNYI-28-2 ,FNYI,0.613239808,0.769312408,0.590938077,49.92476062,17.92866563,2.852641248,17.16335541,2.034366847,19.19772226,68.86363636,40.72934004,28.13429633,0.999,19.52,20.24,412.98,54.64,68.3,0.679629527
FNYI-28-3 ,FNYI,0.575670786,0.817187192,0.751697856,53.32844217,16.18186856,2.164785622,15.73033708,2.076552037,17.80688912,68.87287025,41.53294454,27.33992571,0.867,13.89,17.01,412.77,58.48,69.74,0.800295171
FNYI-28-4 ,FNYI,0.472617145,0.460878589,0.876535075,56.38265665,14.22895131,2.666531062,16.37279597,1.955289673,18.32808564,71.08433735,44.66452553,26.41981182,0.638,15.81,16.29,346.83,50,71.05,4.426544993
FNYI-28-5 ,FNYI,0.481314324,0.462998675,0.665535305,52.33117724,16.61608406,2.090842399,16.36690647,2.112219315,18.47912579,70.09864365,41.3805576,28.71808604,0.895,15.09,15.57,382.76,58.14,71.59,1.704017025
GLCA-26-1 ,GLCA,0.730718119,1.043190565,0.599022877,47.36299124,19.29550798,3.057127115,16.47840532,3.091211114,19.56961643,67.75288527,38.94655364,28.80633163,0.752,20.24,20.72,408.79,49.02,72.87,0.782854756
GLCB-26-1 ,GLCB,0.633986805,0.683527844,0.585918747,46.22050848,19.81746777,2.5093911,18.43971631,3.212980873,21.65269718,67.01916722,39.29459336,27.72457385,0.895,18.08,18.56,414.66,52.63,70.94,0.905343507
GLCB-26-2 ,GLCB,0.698876754,0.720524081,0.552246752,49.04412259,18.99236384,3.351844361,17.63527054,3.204803546,20.84007409,69.2513369,41.68156116,27.56977574,0.904,16.29,16.17,410.34,45.25,72.13,1.188985638
GLCB-26-3 ,GLCB,0.674176488,0.772293436,0.681502816,49.58068271,18.90371231,2.693233209,18.03818302,3.25749596,21.29567898,70.110957,41.14970273,28.96125428,0.921,16.77,20.84,409.97,47.17,72.45,0.727139252
GLCB-26-4,GLCB,0.754202239,0.690816231,0.496297976,44.37488392,17.57262459,2.944098797,19.98722861,2.58893533,22.57616394,69.66292135,41.75624713,27.90667422,0.91,16.41,18.56,461.63,49.26,69.17,1.670233155
HALS-30-1,HALS,0.768261934,0.655490032,0.630665725,46.22241292,17.07396184,2.626477632,19.54022989,2.617641937,22.15787182,65.9137577,38.17883873,27.73491897,0.924,16.29,20.96,351.29,46.95,69.41,2.071799825
HALS-30-2 ,HALS,0.576650255,0.672963204,0.621945941,50.92204348,18.64295535,2.805899514,18.25396825,3.036105099,21.29007335,71.57825802,43.78580796,27.79245006,0.938,16.77,17.25,394.31,52.63,70.73,1.822599309
HALS-30-4 ,HALS,0.638286601,0.542610958,0.575434536,48.84132565,18.18570908,3.254469829,18.21730644,2.985361093,21.20266753,69.13669065,40.60120305,28.53548759,1.067,14.61,16.89,439.92,50.51,70.9,2.014342341
HARB-26-2 ,HARB,0.70876207,0.434454358,0.527118967,49.78916014,21.33021374,2.869296026,16.67748215,3.061736771,19.73921893,66.37992832,37.16723852,29.21268979,,15.57,20.12,406.99,50.25,71.25,1.33649487
HARB-26-1,HARB,0.661771784,0.676753265,0.632457424,59.22158954,22.6010179,3.348804347,17.31629393,2.694133024,20.01042695,67.65313145,40.31850438,27.33462707,,17.25,18.8,384.16,51.55,68.47,1.706385685
HARB-26-3 ,HARB,0.700904412,0.514786959,0.508826659,48.3058251,19.07027998,2.590153724,17.27989488,3.325946721,20.6058416,70.3014753,41.55505514,28.74642016,0.687,18.92,19.64,393.45,50.25,72.5,0.498546358
HARB-26-4 ,HARB,0.67808665,0.744889154,0.552463533,49.98687692,18.00520431,3.335840634,18.73417722,3.009982739,21.74415995,67.83783784,39.17777836,28.66005948,1.065,14.49,17.01,399.6,46.95,71.27,2.121455181
HARB-26-5 ,HARB,0.527595702,0.525701851,0.529145128,50.48722196,18.49729185,2.958128261,17.75114155,2.901255708,20.65239726,67.70963705,42.08888762,25.62074942,,16.29,22.16,372.64,44.25,71.98,3.693069573
HARC-26-1 ,HARC,0.70494313,0.789449299,0.641641814,52.91441,17.98496858,2.279722087,14.9872449,2.818993506,17.8062384,71.57326131,41.88869341,29.6845679,1.007,14.97,17.61,417.61,54.05,70.69,0.695792186
HARC-26-2 ,HARC,0.482346742,0.663982847,0.55705524,48.20701586,17.90461527,3.36996238,17.82799749,3.203960509,21.031958,72.23367698,40.49368008,31.73999689,0.907,16.77,17.73,460.73,48.54,72.63,1.393630948
HARC-26-3 ,HARC,0.511127547,0.607600747,0.509260391,47.74381844,17.81219284,2.859068604,19.4068343,3.240841686,22.64767599,70.49071618,39.37697356,31.11374262,0.854,17.25,19.88,418.34,50,73.23,0.523717018
HARC-26-4 ,HARC,0.684171874,0.783900575,0.533863223,47.83037491,18.2564765,3.686367065,20.2094886,2.377555593,22.58704419,66.35182999,39.0555202,27.29630979,0.913,17.96,18.92,423.01,46.51,66.22,1.675148772
HAZH-10-5 ,HAZH,0.639494104,0.658973657,0.64302618,48.67549205,18.32665301,2.316790813,17.40064447,3.519285226,20.91992969,68.29440906,38.81882542,29.47558364,,,,471.56,,73.15,
HIXN-16-1 ,HIXN,0.849781789,0.653117567,0.837088378,51.50660799,18.72703318,3.193448145,14.67889908,2.340922991,17.01982207,67.51552795,39.74678499,27.76874296,0.937,16.29,17.61,428.53,45.87,65.76,2.908483471
HOMA-21-1 ,HOMA,0.894187214,0.868974416,0.747795424,55.85429725,21.00964913,2.59980455,17.23692705,2.768531017,20.00545807,69.90950226,41.43578918,28.47371308,0.853,19.64,19.76,442.88,54.35,73.34,0.479584993
HOMA-21-2 ,HOMA,0.752808621,0.667736106,0.718258954,54.57396803,21.38270167,3.590200222,16.99475066,2.625298258,19.62004891,72.51328778,40.69647462,31.81681315,0.975,17.49,19.4,449.73,50.76,70.47,0.85770254
HOMA-21-4 ,HOMA,0.512745154,,0.738425038,60.86590623,16.1016916,2.001433528,15.05791506,1.772698023,16.83061308,71.16898849,45.61229776,25.55669073,0.925,16.17,18.56,395.09,54.35,69.67,1.578890448
HOMA-21-5,HOMA,0.679878936,0.620116164,0.686142452,55.02134174,19.67089383,2.942795868,20.57002747,2.899904255,23.46993173,70.83215983,41.9879336,28.84422623,0.935,18.444075,21.37886875,390.775,50.29242715,72.02324954,1.164149856
HOMB-21-1 ,HOMB,0.685486867,0.837699826,0.555325468,49.15731131,20.43307466,3.255670907,19.78575929,2.889328063,22.67508736,70.38327526,38.70534111,31.67793415,0.787,18.92,18.56,435.21,49.02,72.96,0.63425863
HOMB-21-2 ,HOMB,0.711899495,0.718768684,0.53685534,54.42367112,21.38990841,3.672090315,18.92052195,2.791599267,21.71212121,72.59493671,41.71764638,30.87729033,0.917,15.45,15.81,406.53,48.78,71.85,0.651898561
HOMB-21-3 ,HOMB,0.790372324,1.068180618,0.776092783,54.17948114,19.0839338,1.611547497,20.5918619,2.350016814,22.94187871,67.05959398,42.16360406,24.89598991,1.025,17.37,19.76,415.38,51.55,72.53,2.069810647
HOMB-21-4 ,HOMB,0.743567892,0.952006461,0.654117534,49.93016741,20.09804524,2.872306649,18.32593532,2.787657808,21.11359313,67.20707443,39.29311684,27.91395759,0.878,16.53,19.16,376.35,49.26,72.59,0.984072843
HOMB-21-5 ,HOMB,0.675713501,0.907260991,0.648681247,51.58257909,18.92499447,3.272092361,19.54154728,2.703203959,22.24475124,67.16886378,39.80979082,27.35907296,0.841,17.25,17.61,359.38,48.54,71.42,1.883569193
HOMC-21-1 ,HOMC,0.611785096,0.954927854,0.713716484,53.72658634,17.65319042,3.233626378,18.1640625,3.113902699,21.2779652,68.85964912,42.65792346,26.20172566,0.871,13.53,17.37,356.14,50.51,75.9,3.714721227
HOMC-21-2 ,HOMC,0.561056894,0.783630181,0.585501969,54.41435977,21.38253071,3.116029088,17.65755054,2.795130256,20.45268079,68.68371803,41.76799707,26.91572095,0.932,13.41,19.28,368.65,48.78,72.7,0.595957803
